['D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', 'D', 'B', 'B', 'D', 'D', 'B', 'B', 'A', 'B', 'D', 'D', 'D', 'B', 'D', 'B', 'D', 'B', 'B']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'D', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['A', 'C', 'D', 'C', 'D', 'C', 'E', 'C', 'C', 'C', 'A', 'B', 'C', 'C', 'D', 'B', 'A', 'A', 'A', 'C']
['B', 'B', 'A', 'B', 'C', 'E', 'D', 'E', 'D', 'C', 'C', 'C', 'B', 'C', 'B', 'B', 'E', 'D', 'B', 'D']
['D', 'A', 'E', 'C', 'E', 'C', 'C', 'B', 'A', 'E', 'B', 'D', 'D', 'B', 'B', 'E', 'A', 'B', 'E', 'D']
['D', 'D', 'A', 'B', 'D', 'E', 'A', 'A', 'A', 'E', 'A', 'E', 'B', 'D', 'C', 'C', 'C', 'E', 'B', 'D']
['C', 'C', 'B', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'C', 'C', 'C', 'C', 'B', 'B', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'D', 'A', 'D', 'C', 'A', 'E', 'C', 'A', 'D', 'B', 'B', 'A', 'C', 'A', 'C', 'A', 'B', 'C', 'B']
['C', 'D', 'B', 'C', 'B', 'C', 'A', 'B', 'E', 'D', 'A', 'A', 'C', 'D', 'D', 'A', 'E', 'B', 'A', 'B']
['D', 'A', 'C', 'C', 'E', 'B', None, 'C', 'B', 'B', 'B', 'A', 'D', 'B', 'A', 'D', 'C', 'B', 'C', 'B']
['D', 'E', 'E', 'D', 'C', 'E', 'D', 'E', 'B', 'B', 'E', None, 'E', 'D', 'D', None, 'E', 'D', 'E', 'B']
['B', 'D', 'D', 'A', 'A', None, 'C', 'D', 'B', 'D', 'D', 'C', None, 'D', 'B', 'A', 'D', 'C', 'D', 'D']
['C', 'A', 'C', None, 'A', 'A', 'D', 'A', 'E', None, 'D', 'B', 'E', 'A', 'A', 'A', 'B', None, 'A', 'C']
['C', 'C', 'C', 'A', 'B', 'B', 'E', 'E', 'C', 'B', 'C', 'B', 'E', 'A', 'B', 'E', 'A', 'C', 'B', None]
['D', 'B', 'B', 'A', 'B', 'C', 'E', 'B', 'A', 'C', 'A', 'C', 'E', 'B', 'D', 'C', 'B', 'B', 'B', 'B']
['B', 'B', 'C', 'B', 'C', 'B', 'C', 'C', 'A', 'C', 'C', 'C', 'B', 'B', None, 'A', 'C', 'C', 'C', 'C']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'C', 'A', 'E', 'B', 'C', 'A', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'B', 'A', 'C', 'B']
['D', 'A', 'B', 'B', 'D', 'B', 'D', 'E', 'D', 'A', 'B', 'D', 'D', 'B', 'B', 'B', 'B', 'A', 'D', 'C']
['B', 'C', 'B', 'B', 'B', 'A', 'B', 'B', 'B', None, 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B']
['B', 'C', 'C', 'B', 'B', 'B', 'B', 'B', 'C', 'A', 'B', 'A', 'A', 'B', 'B', 'D', 'B', 'B', 'B', 'D']
['C', 'D', None, None, 'B', 'B', 'A', 'C', None, 'A', 'A', 'B', 'D', 'C', 'E', 'B', 'D', 'A', 'E', 'D']
['B', 'A', 'B', 'B', 'C', 'C', 'B', 'B', 'B', 'B', 'B', 'C', 'A', 'B', 'B', 'B', 'D', 'B', 'B', 'A']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'B']
['C', 'E', 'D', 'A', None, 'E', 'E', 'C', 'A', 'A', 'C', 'D', 'D', 'E', 'A', 'E', 'B', 'E', 'C', 'C']
['A', 'B', 'B', 'B', 'B', 'B', 'B', 'C', 'C', 'A', 'B', 'B', 'B', 'C', 'A', 'B', 'B', 'B', 'A', 'B']
[None, 'B', 'B', None, 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['A', 'C', None, 'D', 'C', 'D', 'B', 'D', 'D', 'B', 'C', 'D', 'D', 'A', 'D', 'A', 'D', 'D', 'D', 'E']
['C', 'A', 'A', 'C', 'C', None, None, 'C', 'B', 'A', 'C', 'C', 'C', 'A', 'B', 'C', 'C', 'B', 'A', 'B']
['C', 'B', None, 'A', 'B', 'B', 'C', None, 'A', 'B', 'C', 'B', 'A', 'C', 'B', 'C', 'E', 'E', 'E', 'D']
['C', 'C', 'E', 'C', 'C', 'E', 'C', 'B', 'A', 'C', 'C', 'C', 'C', 'E', 'C', 'E', 'C', 'A', 'E', 'A']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'C', 'D', 'A', None, 'A']
['D', 'B', None, 'D', 'C', 'D', 'C', 'B', 'E', 'A', 'B', 'D', 'B', 'C', 'A', 'D', 'B', 'D', 'B', 'D']
['B', 'B', 'C', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'A', None, 'C', 'A', 'B', 'B', 'A', 'A', 'A', 'A']
['A', None, 'A', 'A', None, 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'B', 'C', 'A', 'A', 'B', 'A']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', None, 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'A', 'B', 'C', 'C', 'C', 'A', 'B', 'A', 'A', 'B', 'C']
['B', 'B', 'B', 'B', 'B', None, 'A', 'A', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'A', 'B', 'B', 'B', 'A']
['B', 'B', 'D', 'C', 'B', 'C', 'B', 'D', 'D', 'C', 'A', 'A', 'C', 'C', 'D', 'A', 'C', 'A', 'B', 'A']
['C', 'C', 'C', 'D', 'B', None, None, 'D', 'D', 'C', 'B', 'C', 'A', 'B', None, 'A', 'C', 'B', 'B', 'C']
['B', 'B', 'A', None, 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'C', 'A', 'C', None, 'D', 'A', None, 'A', 'A']
['B', 'C', 'B', None, 'C', 'A', 'A', 'C', 'C', 'B', 'D', 'A', 'C', None, 'B', 'A', 'C', 'D', 'D', 'C']
['A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'E', 'A', 'E', 'A', 'A']
['C', 'B', 'B', 'B', 'B', 'A', 'D', 'B', 'B', 'C', 'C', 'B', 'C', 'B', 'D', 'B', None, 'B', 'B', 'C']
['A', 'C', 'C', 'A', 'C', 'E', 'D', 'C', 'C', 'A', 'A', 'B', 'B', 'A', 'B', 'A', 'C', 'C', 'A', 'B']
['D', 'A', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'A', 'B', 'A', 'B', 'D']
['D', 'B', 'E', 'B', 'D', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'C', None, 'A', 'A', 'A', 'A', 'C', 'B']
['C', 'A', 'A', 'C', 'B', 'C', 'B', 'A', 'D', 'C', 'B', 'B', 'A', 'C', 'B', 'B', 'A', 'C', 'B', 'B']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['C', 'A', 'C', 'E', 'D', 'C', 'A', 'B', 'A', None, 'C', 'A', 'C', 'C', 'C', 'C', 'A', 'D', None, 'C']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'E', 'A', 'B', 'C', None, 'B', 'D', 'E', 'B', 'B', 'C', None, 'D', None, 'D', 'B', 'D', 'C', 'D']
['C', 'A', None, 'A', None, 'C', 'A', 'B', 'E', 'A', 'E', 'E', 'B', 'A', 'C', 'C', 'A', 'C', 'B', 'C']
['D', 'D', 'B', 'B', 'D', 'D', None, 'D', 'E', 'D', 'B', 'E', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'C', 'C', 'D', 'E', 'C', 'C', 'C', 'B', 'C', 'C', 'A', 'A', 'B', 'C', 'A', 'C', 'C', 'B']
['C', 'C', 'B', 'B', 'B', None, 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'C', 'B', 'B', 'C', 'B', 'A', 'A']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', None, 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'A', 'A', 'A', 'A', 'B', 'A', 'D', 'A', 'B', 'C', 'E', 'B', 'A', 'C', 'D', 'A', 'B', 'B', 'A']
['D', 'B', 'C', 'C', None, None, 'A', 'E', 'C', 'C', 'A', 'E', 'C', 'B', 'D', 'A', 'A', 'B', 'D', 'B']
['C', 'D', 'B', 'B', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'A', 'C', 'E', 'D', 'B', 'E', 'D', 'B', 'E']
['D', 'D', 'D', 'A', 'C', 'D', 'D', 'B', 'D', 'D', 'C', None, 'D', 'D', 'A', 'A', 'D', None, 'B', 'A']
['B', None, None, 'B', 'B', 'C', 'C', 'B', None, 'B', 'C', 'B', 'B', 'C', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'B', 'B', 'B', 'A', 'D', 'B', 'A', 'B', 'D', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'B']
['A', 'B', 'A', 'D', 'D', 'D', 'D', 'A', 'D', 'B', 'D', 'B', None, 'A', 'A', 'B', 'A', 'B', 'D', 'D']
['C', 'A', 'C', 'A', 'C', 'B', 'C', 'C', 'C', 'D', 'A', 'C', 'C', 'B', 'B', 'C', 'A', 'C', 'B', 'C']
